Files already downloaded and verified
Files already downloaded and verified
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch 127, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.699, TAw acc= 78.9% |
| Epoch 128, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.700, TAw acc= 77.7% |
| Epoch 129, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.692, TAw acc= 78.6% |
| Epoch 130, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.709, TAw acc= 78.5% |
| Epoch 131, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.684, TAw acc= 79.1% |
| Epoch 132, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.688, TAw acc= 79.5% |
| Epoch 133, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.684, TAw acc= 78.6% |
| Epoch 134, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.716, TAw acc= 77.2% |
| Epoch 135, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.684, TAw acc= 78.4% |
| Epoch 136, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.679, TAw acc= 79.4% |
| Epoch 137, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.695, TAw acc= 78.6% |
| Epoch 138, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.693, TAw acc= 78.4% |
| Epoch 139, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.685, TAw acc= 79.1% |
| Epoch 140, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.684, TAw acc= 78.6% |
| Epoch 141, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.691, TAw acc= 77.6% |
| Epoch 142, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.693, TAw acc= 78.6% |
| Epoch 143, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.693, TAw acc= 77.7% |
| Epoch 144, time=  0.5s | Train: skip eval | Valid: time=  0.1s loss=0.682, TAw acc= 79.8% |
| Epoch 145, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.692, TAw acc= 80.2% |
| Epoch 146, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.696, TAw acc= 79.1% |
| Epoch 147, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.701, TAw acc= 78.9% |
| Epoch 148, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.689, TAw acc= 79.6% |
| Epoch 149, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.684, TAw acc= 79.3% |
| Epoch 150, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.692, TAw acc= 78.5% |
| Epoch 151, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.690, TAw acc= 79.9% |
| Epoch 152, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.681, TAw acc= 78.8% |
| Epoch 153, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.713, TAw acc= 78.0% |
| Epoch 154, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.689, TAw acc= 78.6% |
| Epoch 155, time=  0.5s | Train: skip eval | Valid: time=  0.1s loss=0.683, TAw acc= 79.5% |
| Epoch 156, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.675, TAw acc= 79.8% |
| Epoch 157, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.690, TAw acc= 79.0% |
| Epoch 158, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.681, TAw acc= 80.2% |
| Epoch 159, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.682, TAw acc= 78.8% |
| Epoch 160, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.686, TAw acc= 79.0% |
| Epoch 161, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.687, TAw acc= 80.0% |
| Epoch 162, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.679, TAw acc= 80.6% |
| Epoch 163, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.677, TAw acc= 80.2% |
| Epoch 164, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.674, TAw acc= 80.1% |
| Epoch 165, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.679, TAw acc= 79.8% |
| Epoch 166, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.674, TAw acc= 79.9% |
| Epoch 167, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.672, TAw acc= 80.1% |
| Epoch 168, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.677, TAw acc= 79.9% |
| Epoch 169, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.675, TAw acc= 79.9% |
| Epoch 170, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.671, TAw acc= 79.8% |
| Epoch 171, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 79.6% |
| Epoch 172, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.673, TAw acc= 79.7% |
| Epoch 173, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 79.8% |
| Epoch 174, time=  0.5s | Train: skip eval | Valid: time=  0.1s loss=0.671, TAw acc= 79.7% |
| Epoch 175, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 79.5% |
| Epoch 176, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.672, TAw acc= 79.8% |
| Epoch 177, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.673, TAw acc= 79.7% |
| Epoch 178, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 79.8% |
| Epoch 179, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.670, TAw acc= 79.7% |
| Epoch 180, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.671, TAw acc= 79.5% |
| Epoch 181, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.675, TAw acc= 79.1% |
| Epoch 182, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.670, TAw acc= 79.6% |
| Epoch 183, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.671, TAw acc= 79.7% |
| Epoch 184, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.671, TAw acc= 79.2% |
| Epoch 185, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.673, TAw acc= 79.5% |
| Epoch 186, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.671, TAw acc= 79.6% |
| Epoch 187, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.672, TAw acc= 79.4% |
| Epoch 188, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.672, TAw acc= 79.1% |
| Epoch 189, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.674, TAw acc= 79.2% |
| Epoch 190, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.670, TAw acc= 79.4% |
| Epoch 191, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 79.5% |
| Epoch 192, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.668, TAw acc= 79.3% |
| Epoch 193, time=  0.6s | Train: skip eval | Valid: time=  0.1s loss=0.668, TAw acc= 79.7% |
| Epoch 194, time=  0.5s | Train: skip eval | Valid: time=  0.1s loss=0.669, TAw acc= 79.6% |
| Epoch 195, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 80.0% |
| Epoch 196, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.673, TAw acc= 79.5% |
| Epoch 197, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.670, TAw acc= 79.4% |
| Epoch 198, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.672, TAw acc= 79.3% |
| Epoch 199, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 79.6% |
| Epoch 200, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.669, TAw acc= 79.6% |
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 82.7%, forg=  0.0%| TAg acc= 82.7%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.669 | TAw acc= 79.6%, forg=  0.0%| TAg acc= 79.6%, forg=  0.0% <<<
Save at ../results/cifar100_icarl_lwf_/10x10_lamb=0.1
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.849, TAw acc= 40.4% |
| Epoch   2, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.785, TAw acc= 46.0% |
| Epoch   3, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.606, TAw acc= 50.8% |
| Epoch   4, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.600, TAw acc= 53.0% |
| Epoch   5, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.703, TAw acc= 48.1% |
| Epoch   6, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.559, TAw acc= 53.8% |
| Epoch   7, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.488, TAw acc= 55.7% |
| Epoch   8, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.571, TAw acc= 52.9% |
| Epoch   9, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.531, TAw acc= 52.2% |
| Epoch  10, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.635, TAw acc= 53.5% |
| Epoch  11, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.635, TAw acc= 52.7% |
| Epoch  12, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.588, TAw acc= 53.7% |
| Epoch  13, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.669, TAw acc= 53.4% |
| Epoch  14, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.554, TAw acc= 55.0% |
| Epoch  15, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.610, TAw acc= 51.9% |
| Epoch  16, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.595, TAw acc= 52.1% |
| Epoch  17, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.550, TAw acc= 52.6% |
| Epoch  18, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.456, TAw acc= 56.2% |
| Epoch  19, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.445, TAw acc= 56.6% |
| Epoch  20, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.445, TAw acc= 57.3% |
| Epoch  21, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.497, TAw acc= 54.5% |
| Epoch  22, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.445, TAw acc= 58.7% |
| Epoch  23, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.451, TAw acc= 56.4% |
| Epoch  24, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.559, TAw acc= 52.5% |
| Epoch  25, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.497, TAw acc= 54.4% |
| Epoch  26, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.541, TAw acc= 53.3% |
| Epoch  27, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.521, TAw acc= 57.1% |
| Epoch  28, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.410, TAw acc= 58.2% |
| Epoch  29, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.520, TAw acc= 58.4% |
| Epoch  30, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.471, TAw acc= 56.5% |
| Epoch  31, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.388, TAw acc= 60.9% |
| Epoch  32, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.520, TAw acc= 54.5% |
